MES,LOC,CLASSES,METODOS,CLASSES_DEUS,METODOS_DEUS
1,2107,9,206,0,0
2,2107,9,206,0,0
3,2107,9,206,0,0
4,2363,9,233,1,0
5,2335,9,231,1,0
6,2335,9,231,1,0
7,2488,9,243,1,0
8,2326,9,229,1,0
9,2335,9,229,1,0
10,2335,9,229,1,0
11,2057,7,192,0,1
12,2057,7,192,0,1
13,2054,7,192,0,1
14,2054,7,192,0,1
15,2088,7,192,0,1
16,2088,7,192,0,1
17,2151,7,190,0,1
18,2151,7,190,0,1
19,1915,7,166,0,1
20,1915,7,166,0,1
21,1915,7,166,0,1
22,1915,7,166,0,1
23,1915,7,166,0,1
24,1827,6,165,0,1
25,1833,6,166,0,1
26,1833,6,166,0,1
27,1833,6,166,0,1
28,1822,5,156,0,1